site_id,lat,lon
WB,47.87816667,-55.72481667
FC1,47.853,-55.8155
FC2,47.78083333,-55.85331667
FC3,47.70736667,-55.90418333
FC4,47.69195,-56.00085
OC1,47.60316667,-56.27
OC2,47.58795,-56.44135
OC3,47.573,-56.57118333
OC4,47.55786667,-56.70791667
